Time [s],Channel 0
12.223220960,1
12.223221600,0
12.223663680,1
12.224927040,0
12.224929120,1
12.224930240,0
12.224932960,1
12.224933600,0
12.225379200,1
12.225769440,0
12.225771360,1
12.225772640,0
12.225774880,1
12.225775840,0
12.226217280,1
12.226611680,0
12.226613760,1
12.226614880,0
12.226617280,1
12.226618240,0
12.227060320,1
12.228377600,0
12.228379680,1
12.228380800,0
12.228383360,1
12.228384160,0
12.228773600,1
12.229165600,0
12.229167680,1
12.229168800,0
12.229171360,1
12.229172160,0
12.229618240,1
12.230008000,0
12.230010080,1
12.230011200,0
12.230013600,1
12.230014560,0
12.230456160,1
12.230850400,0
12.230852480,1
12.230853600,0
12.230855840,1
12.230856800,0
12.231299040,1
12.231692640,0
12.231694720,1
12.231695840,0
12.231698240,1
12.231699200,0
12.232144320,1
12.232534880,0
12.232536960,1
12.232538240,0
12.232540480,1
12.232541440,0
12.232983360,1
12.233377120,0
12.233379200,1
12.233380480,0
12.233382720,1
12.233383680,0
12.233825440,1
12.234219360,0
12.234221440,1
12.234222720,0
12.234224960,1
12.234225920,0
12.234667680,1
12.235061760,0
12.235063840,1
12.235064960,0
12.235067200,1
12.235068160,0
12.235510080,1
12.235904160,0
12.235906080,1
12.235907360,0
12.235909600,1
12.235910560,0
12.236352480,1
12.236746400,0
12.236748320,1
12.236749600,0
12.236751840,1
12.236752800,0
12.237197920,1
12.237588640,0
12.237590560,1
12.237591840,0
12.237594080,1
12.237595040,0
12.238036800,1
12.239327200,0
12.239329280,1
12.239330560,0
12.239332800,1
12.239333760,0
12.239748480,1
12.240142400,0
12.240144320,1
12.240145600,0
12.240147840,1
12.240148800,0
12.240590560,1
12.240984640,0
12.240986720,1
12.240987840,0
12.240990080,1
12.240991200,0
12.241433120,1
12.241827040,0
12.241828960,1
12.241830240,0
12.241832480,1
12.241833440,0
12.242278560,1
12.242669280,0
12.242671360,1
12.242672480,0
12.242674880,1
12.242675840,0
12.243120960,1
12.244408000,0
12.244410080,1
12.244411200,0
12.244413440,1
12.244414400,0
12.244835360,1
12.245223040,0
12.245225120,1
12.245226400,0
12.245228480,1
12.245229440,0
12.245676000,1
12.246065440,0
12.246067360,1
12.246068640,0
12.246070720,1
12.246071840,0
12.246513920,1
12.246907520,0
12.246909600,1
12.246910720,0
12.246912960,1
12.246913920,0
12.247359200,1
12.247749760,0
12.247751680,1
12.247752960,0
12.247755200,1
12.247756160,0
12.248201280,1
12.248592000,0
12.248594080,1
12.248595200,0
12.248597440,1
12.248598400,0
12.249043680,1
12.249434240,0
12.249436320,1
12.249437600,0
12.249439840,1
12.249440800,0
12.249886080,1
12.250276640,0
12.250278560,1
12.250279840,0
12.250282080,1
12.250283040,0
12.250728160,1
12.251118880,0
12.251120800,1
12.251122080,0
12.251124160,1
12.251125280,0
12.251570400,1
12.251961120,0
12.251963040,1
12.251964320,0
12.251966560,1
12.251967520,0
12.252412640,1
12.252803200,0
12.252805280,1
12.252806560,0
12.252808640,1
12.252809760,0
12.253255040,1
12.253645440,0
12.253647360,1
12.253648640,0
12.253650880,1
12.253651840,0
12.254096960,1
12.254487520,0
12.254489600,1
12.254490720,0
12.254492960,1
12.254493920,0
12.254939040,1
12.255329760,0
12.255331840,1
12.255332960,0
12.255335200,1
12.255336160,0
12.255781280,1
12.256172000,0
12.256174080,1
12.256175200,0
12.256177440,1
12.256178400,0
12.256623520,1
12.257014240,0
12.257016320,1
12.257017440,0
12.257019680,1
12.257020640,0
12.257465920,1
12.257856480,0
12.257858400,1
12.257859680,0
12.257861760,1
12.257862880,0
12.258308000,1
12.258698720,0
12.258700800,1
12.258701920,0
12.258704160,1
12.258705120,0
12.259150240,1
12.259541120,0
12.259543040,1
12.259544320,0
12.259546400,1
12.259547520,0
12.259992640,1
12.260383360,0
12.260385280,1
12.260386560,0
12.260388800,1
12.260389760,0
12.260835040,1
12.262121920,0
12.262124000,1
12.262125120,0
12.262127360,1
12.262128320,0
12.262549440,1
12.262936960,0
12.262939040,1
12.262940320,0
12.262942400,1
12.262943360,0
12.263389760,1
12.264702880,0
12.264704960,1
12.264706240,0
12.264708320,1
12.264709440,0
12.265099360,1
12.265490880,0
12.265492960,1
12.265494080,0
